n,r,m
"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})","[:BERASAL_DARI {raw_relation: BERASAL_DARI, sentence_id: 3547, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {name: bhetara hyang guru, id: bhetara_hyang_guru})"
"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})","[:DIMOHONKAN_OLEH {raw_relation: DIMOHONKAN_OLEH, sentence_id: 4110, confidence: MED}]","(:Node:ENTITAS_KEAGAMAAN {name: pemangku, id: pemangku})"
"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})","[:DIMOHONKAN_OLEH {raw_relation: DIMOHONKAN_OLEH, sentence_id: 4105, confidence: MED}]","(:Node:ENTITAS_KEAGAMAAN {name: pemangku kawitan setempat, id: pemangku_kawitan_setempat})"
"(:Node:KONSEP_FILOSOFIS {name: tirtha amertha, id: tirtha_amertha})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})"
"(:Node:TIRTHA_SUCI {DIPERCIKKAN_PADA: [saat menjelang penguburan atau pembakaran sawa], name: tirtha dari pamrajan/kahyangan tiga/prajapati, id: tirtha_dari_pamrajan_kahyangan_tiga_prajapati})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})"
"(:Node:TIRTHA_SUCI {DIPERCIKKAN_PADA: [saat menjelang penguburan atau pembakaran sawa], name: tirtha dari pamrajan/kahyangan tiga/prajapati, id: tirtha_dari_pamrajan_kahyangan_tiga_prajapati})","[:DIPERCIKKAN_SEBELUM {raw_relation: DIPERCIKKAN_SEBELUM, sentence_id: 978, confidence: MED}]","(:Node:TIRTHA_SUCI {BERFUNGSI_SEBAGAI: [pelebur unsur karma wasana yang mengikat roh atau atman], DIBUAT_SAAT: [upacara pengaskaran bertepatan dengan puncak upacara pengabenan], aliases: [tirtha pangentas], name: tirta pangentas, BERFUNGSI_UNTUK: [memotong ikatan dan hubungan jasad dengan atma-jiwa dari mendiang], MEMILIKI: [fungsi utama sebagai sarana untuk ""ngentas"": memberikan jalan dan membersihkan noda-noda roh atau atma orang yang meninggal, agar dapat menuju ke alam kedewataan, nilai filosofis yang sangat tinggi sekali], definition: tirtha yang diharapkan dan diyakini sebagai alat atau sarana sangat penting bagi umat hindu, khususnya dalam hubungannya untuk dapat melepaskan roh para leluhur dari ikatan-ikatan keduniawian, sehingga para leluhur dapat bebas dan bisa meningkat menuju alam bhwah loka, id: tirta_pangentas, DIBUAT_DI: [gria ida sang sulinggih (kediaman pendeta) atau di rumah]})"
"(:Node:TIRTHA_SUCI {BERFUNGSI_SEBAGAI: [simbol pikiran dan perasaan sang yajamana orang yang punya upacara], name: tirtha ening, id: tirtha_ening})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})"
"(:Node:TIRTHA_SUCI {name: tirtha kahyangan tiga, id: tirtha_kahyangan_tiga})","[:BERADA_DI {raw_relation: DIMOHON_DARI, sentence_id: 4109, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: pura desa, id: pura_desa})"
"(:Node:TIRTHA_SUCI {name: tirtha kahyangan tiga, id: tirtha_kahyangan_tiga})","[:BERADA_DI {raw_relation: DIMOHON_DARI, sentence_id: 4109, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: pura mrajapti, id: pura_mrajapti})"
"(:Node:TIRTHA_SUCI {name: tirtha kahyangan tiga, id: tirtha_kahyangan_tiga})","[:BERADA_DI {raw_relation: DIMOHON_DARI, sentence_id: 4109, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: pura puseh, id: pura_puseh})"
"(:Node:TIRTHA_SUCI {name: tirtha kahyangan tiga, id: tirtha_kahyangan_tiga})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})"
"(:Node:TIRTHA_SUCI {name: tirtha kahyangan tiga, id: tirtha_kahyangan_tiga})","[:DIMOHON_DARI {raw_relation: DIMOHON_DARI, sentence_id: 4109, confidence: HIGH}]","(:Node:BANGUNAN_RITUAL {name: pura dalem, id: pura_dalem})"
"(:Node:TIRTHA_SUCI {name: tirtha kawitan, id: tirtha_kawitan})","[:BERADA_DI {raw_relation: DIMOHON_DARI, sentence_id: 4103, confidence: MED}]","(:Node:KONSEP_FILOSOFIS {name: merajan kawitan, id: merajan_kawitan})"
"(:Node:TIRTHA_SUCI {name: tirtha kawitan, id: tirtha_kawitan})","[:BERADA_DI {raw_relation: DIMOHON_DARI, sentence_id: 4103, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: merajan pusat, id: merajan_pusat})"
"(:Node:TIRTHA_SUCI {name: tirtha kawitan, id: tirtha_kawitan})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})"
"(:Node:TIRTHA_SUCI {name: tirtha pabersihan, id: tirtha_pabersihan})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})"
"(:Node:TIRTHA_SUCI {name: tirtha pabersihan, id: tirtha_pabersihan})","[:DIBUAT_OLEH {raw_relation: DIBUAT_OLEH, sentence_id: 4065, confidence: MED}]","(:Node:ENTITAS_KEAGAMAAN {aliases: [ida sang sulinggih], name: sulinggih, definition: Pendeta atau tokoh suci yang memiliki otoritas spiritual tertinggi., id: sulinggih, MEMBERIKAN: [panjaya-jaya]})"
"(:Node:TIRTHA_SUCI {name: tirtha pabersihan, id: tirtha_pabersihan})","[:TIDAK_MEMAKAI {raw_relation: TIDAK_MEMAKAI, sentence_id: 4065, confidence: MED}]","(:Node:TIRTHA_SUCI {name: samsam tidak seperti tirtha panglukatan, id: samsam_tidak_seperti_tirtha_panglukatan})"
"(:Node:TIRTHA_SUCI {name: tirtha pabersihan periuknya, id: tirtha_pabersihan_periuknya})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {name: tirtha pabersihan, id: tirtha_pabersihan})"
"(:Node:TIRTHA_SUCI {name: tirtha pabersihan periuknya, id: tirtha_pabersihan_periuknya})","[:TANPA {raw_relation: TANPA, sentence_id: 4065, confidence: LOW}]","(:Node:SARANA_RITUAL {name: kalung benang dengan uang kepeng, id: kalung_benang_dengan_uang_kepeng})"
"(:Node:TIRTHA_SUCI {DIPERCIKKAN_PADA: [perlambang hanya sekali saja, sesosok mayat hanya sekali saja], name: tirtha pangentas atiwa-tiwa, id: tirtha_pangentas_atiwa_tiwa})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {BERFUNGSI_SEBAGAI: [pelebur unsur karma wasana yang mengikat roh atau atman], DIBUAT_SAAT: [upacara pengaskaran bertepatan dengan puncak upacara pengabenan], aliases: [tirtha pangentas], name: tirta pangentas, BERFUNGSI_UNTUK: [memotong ikatan dan hubungan jasad dengan atma-jiwa dari mendiang], MEMILIKI: [fungsi utama sebagai sarana untuk ""ngentas"": memberikan jalan dan membersihkan noda-noda roh atau atma orang yang meninggal, agar dapat menuju ke alam kedewataan, nilai filosofis yang sangat tinggi sekali], definition: tirtha yang diharapkan dan diyakini sebagai alat atau sarana sangat penting bagi umat hindu, khususnya dalam hubungannya untuk dapat melepaskan roh para leluhur dari ikatan-ikatan keduniawian, sehingga para leluhur dapat bebas dan bisa meningkat menuju alam bhwah loka, id: tirta_pangentas, DIBUAT_DI: [gria ida sang sulinggih (kediaman pendeta) atau di rumah]})"
"(:Node:TIRTHA_SUCI {name: tirtha pangentas dan isinya, id: tirtha_pangentas_dan_isinya})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {BERFUNGSI_SEBAGAI: [pelebur unsur karma wasana yang mengikat roh atau atman], DIBUAT_SAAT: [upacara pengaskaran bertepatan dengan puncak upacara pengabenan], aliases: [tirtha pangentas], name: tirta pangentas, BERFUNGSI_UNTUK: [memotong ikatan dan hubungan jasad dengan atma-jiwa dari mendiang], MEMILIKI: [fungsi utama sebagai sarana untuk ""ngentas"": memberikan jalan dan membersihkan noda-noda roh atau atma orang yang meninggal, agar dapat menuju ke alam kedewataan, nilai filosofis yang sangat tinggi sekali], definition: tirtha yang diharapkan dan diyakini sebagai alat atau sarana sangat penting bagi umat hindu, khususnya dalam hubungannya untuk dapat melepaskan roh para leluhur dari ikatan-ikatan keduniawian, sehingga para leluhur dapat bebas dan bisa meningkat menuju alam bhwah loka, id: tirta_pangentas, DIBUAT_DI: [gria ida sang sulinggih (kediaman pendeta) atau di rumah]})"
"(:Node:TIRTHA_SUCI {name: tirtha pangentas dan isinya, id: tirtha_pangentas_dan_isinya})","[:DIPERSATUKAN_DENGAN {raw_relation: DIPERSATUKAN_DENGAN, sentence_id: 1477, confidence: LOW}]","(:Node:SARANA_RITUAL {name: isi pengawak, id: isi_pengawak})"
"(:Node:TIRTHA_SUCI {name: tirtha pemanah, definition: tirtha yang dibuat pada hari pabersihan atau juga disebut hari pengaskaran yang biasanya bersamaan dengan upacara pamrasan, id: tirtha_pemanah, BERBEDA_DENGAN: [tirtha-tirtha yang telah disebut diatas], DIPAKAI_UNTUK: [upacara pengabenan sawa wedana yang menggunakan tumpang salu]})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})"
"(:Node:TIRTHA_SUCI {name: tirtha pemanah, definition: tirtha yang dibuat pada hari pabersihan atau juga disebut hari pengaskaran yang biasanya bersamaan dengan upacara pamrasan, id: tirtha_pemanah, BERBEDA_DENGAN: [tirtha-tirtha yang telah disebut diatas], DIPAKAI_UNTUK: [upacara pengabenan sawa wedana yang menggunakan tumpang salu]})","[:DIBUAT_SAAT {raw_relation: DIBUAT_SAAT, sentence_id: 4079, confidence: LOW}]","(:Node:TAHAPAN_UPACARA {name: upacara pengaskaran, id: upacara_pengaskaran})"
"(:Node:TIRTHA_SUCI {name: tirtha penembak, MEMILIKI: [hubungan erat dengan itihasa Bisma Parwa, bagian dari Mahabharata], definition: tirtha yang wajib dipersembahkan oleh "" sang yajamana "" atau orang yang memiliki upacara tersebut, id: tirtha_penembak})",[:TERMASUK_JENIS],"(:Node:TIRTHA_SUCI {DIMOHON_KEPADA: [pendeta yang muput pangabenan itu sendiri], aliases: [tirtha lainnya], BERPERAN_SEBAGAI: [sarana untuk menetapkan kedudukan arwah mendiang pada satu alam roh (pitra) tertentu], DIPAKAI_UNTUK: [ngalukat], BERFUNGSI_SEBAGAI: [sarana pengembalian roh (atma) kepada sang pencipta, sarana untuk meningkatkan kedudukan roh orang yang meninggal yang masih dalam tingkatan preta menjadi pitara], DIMOHONKAN_DI: [sanggah/pamerajan keluarga orang yang meninggal], DIPERCIKKAN_PADA: [kedua perlambang, seluruh badan hingga ke kaki jenazah], DITUJUKAN_UNTUK: [arwah mendiang dalam peristiwa beralihnya dari dunia manusia ke dunia roh], name: tirtha, DIBAWA_KE: [setra untuk dipergunakan pada waktu pembakaran], MEMILIKI: [tarif, harga, nilai spiritual yang sama, fungsi sarana untuk mengucapkan permohonan pamit terhadap leluhur , agar nanti nya dapat ikut masuk kealam kedewataan, fungsi sarana yang dapat mengantarkan agar roh orang yang meninggal mendapatkan tempat yang baik atau dalam kata lain roh tersebut tidak mengalami kesengsaraan], definition: sarana restu dari ida bhatara di kahyangan tersebut, id: tirtha})"
"(:Node:ISTILAH_UMUM_RITUAL {name: tulang belulang, id: tulang_belulang})","[:DIAMBIL_DARI {raw_relation: DIAMBIL_DARI, sentence_id: 254, confidence: MED}]","(:Node:BANGUNAN_RITUAL {name: kuburan, DIBONGKAR: [untuk mengambil tulang belulang], id: kuburan})"
"(:Node:SARANA_RITUAL {DIIKAT_DENGAN: [benang tridatu merah, hitam dan putih, benang tridatu], aliases: [5 biji uang kepeng, 7 biji uang kepeng, 9 biji uang kepeng, pipis bolong, sejumlah uang kepeng, wang kepeng/bolong], name: uang kepeng, id: uang_kepeng})","[:ADALAH {raw_relation: ADALAH, sentence_id: 3141, confidence: HIGH}]","(:Node:SARANA_RITUAL {DIIKAT_DENGAN: [benang tridatu merah, hitam dan putih, benang tridatu], aliases: [5 biji uang kepeng, 7 biji uang kepeng, 9 biji uang kepeng, pipis bolong, sejumlah uang kepeng, wang kepeng/bolong], name: uang kepeng, id: uang_kepeng})"
"(:Node:SARANA_RITUAL {DIIKAT_DENGAN: [benang tridatu merah, hitam dan putih, benang tridatu], aliases: [5 biji uang kepeng, 7 biji uang kepeng, 9 biji uang kepeng, pipis bolong, sejumlah uang kepeng, wang kepeng/bolong], name: uang kepeng, id: uang_kepeng})","[:DIBUNGKUS_DENGAN {raw_relation: DIBUNGKUS_DENGAN, sentence_id: 1776, confidence: HIGH}]","(:Node:SARANA_RITUAL {name: daun dapdap, id: daun_dapdap})"
"(:Node:SARANA_RITUAL {name: uang kepeng asli, id: uang_kepeng_asli, MENGANDUNG: [lima unsur logam]})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {DIIKAT_DENGAN: [benang tridatu merah, hitam dan putih, benang tridatu], aliases: [5 biji uang kepeng, 7 biji uang kepeng, 9 biji uang kepeng, pipis bolong, sejumlah uang kepeng, wang kepeng/bolong], name: uang kepeng, id: uang_kepeng})"
"(:Node:SARANA_RITUAL {name: udeng untuk laki-laki, id: udeng_untuk_laki_laki, BERWARNA: [putih]})",[:TERMASUK_JENIS],"(:Node:SARANA_RITUAL {name: udeng, id: udeng})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {DIMASUKKAN_KE_DALAM: [periuk], name: ulantaga, id: ulantaga})",null,null
"(:Node:ISTILAH_UMUM_RITUAL {name: umpal, id: umpal, BERWARNA: [putih]})","[:ADALAH {raw_relation: ADALAH, sentence_id: 3623, confidence: LOW}]","(:Node:SARANA_RITUAL {name: tali saput, id: tali_saput})"
"(:Node:STRUKTUR_SOSIAL_ADAT:Isolated {TERLIBAT_DI: [acara khusus], name: undagi, id: undagi})",null,null
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: upacara mapulang lingga, definition: ngelinggihang lingga dalam diri, id: upacara_mapulang_lingga})",null,null
"(:Node:RITUAL_KEMATIAN:Isolated {name: upacara mesulub, definition: kepercayaan setempat yang telah diwarisi turun temurun sejak jaman dulu di daerah atau desa setempat, id: upacara_mesulub})",null,null
"(:Node:RITUAL_KEMATIAN {name: upacara ngaben titip, id: upacara_ngaben_titip})","[:MENGGUNAKAN {raw_relation: MEMPERGUNAKAN, sentence_id: 1188, confidence: MED}]","(:Node:TIRTHA_SUCI {aliases: [tirtha panglukatan], name: tirta panglukatan, id: tirta_panglukatan})"
"(:Node:RITUAL_KEMATIAN {name: upacara ngaben titip, id: upacara_ngaben_titip})","[:MENGGUNAKAN {raw_relation: MEMPERGUNAKAN, sentence_id: 1188, confidence: MED}]","(:Node:TIRTHA_SUCI {name: tirtha pabersihan, id: tirtha_pabersihan})"
"(:Node:RITUAL_KEMATIAN:Isolated {DILAKUKAN: [minimal 12 hari kemudian], name: upacara ngelungah, id: upacara_ngelungah})",null,null
"(:Node:ISTILAH_UMUM_RITUAL {name: upacara pabresihan mati, id: upacara_pabresihan_mati})","[:ADALAH {raw_relation: ADALAH, sentence_id: 3195, confidence: MED}]","(:Node:TAHAPAN_UPACARA {aliases: [ngelelet], name: pabersihan mati, id: pabersihan_mati})"
"(:Node:ISTILAH_UMUM_RITUAL:Isolated {name: upacara panebusan, definition: sesuatu yang mutlak dalam pengabenan, id: upacara_panebusan})",null,null
"(:Node:RITUAL_KEMATIAN:Isolated {name: upacara pengabenan, definition: upacara penyucian roh atau atman purusa orang yang telah meninggal, agar terlepas dari ikatan panca mahabhuta, sehingga dapat menuju alam dewa swah loka, id: upacara_pengabenan})",null,null
"(:Node:TAHAPAN_UPACARA:Isolated {name: upacara saji tarpana, id: upacara_saji_tarpana})",null,null
"(:Node:TAHAPAN_UPACARA {name: upadesa, definition: tatwa pengarahan hidup, id: upadesa})","[:DIKENAL_SEBAGAI {raw_relation: DIKENAL_DENGAN, sentence_id: 1732, confidence: HIGH}]","(:Node:KONSEP_FILOSOFIS {LAINNYA: [jalan yang harus ditempuh], name: upanisad, id: upanisad})"
"(:Node:KONSEP_HUKUM_ADAT {name: uye, id: uye})","[:BERADA_DI {raw_relation: BERADA_DI, sentence_id: 413, confidence: MED}]","(:Node:KONSEP_HUKUM_ADAT {name: sasih kasanga, id: sasih_kasanga})"
